Estatura,Peso
1.94,95.8
1.82,80.5
1.79,78.2
1.69,77.4
1.8,82.6
1.88,87.8
1.57,67.6
1.81,82.5
1.76,82.5
1.63,65.8
1.59,67.3
1.84,88.8
1.92,93.7
1.84,82.9
1.88,88.4
1.62,69
1.86,83.4
1.91,89.1
1.99,95.2
1.76,79.1
1.55,61.6
1.71,70.6
1.75,79.4
1.76,78.1
2,90.6
1.66,74.9
1.96,88.1
1.56,65.3
1.55,64.5
1.71,75.5
1.9,91.3
1.65,66.6
1.78,76.8
1.83,80.2
1.98,97.6
1.67,76
1.53,58
1.96,95.2
1.66,74.5
1.62,71.8
1.89,91
1.53,62.1
1.59,69.8
1.55,64.6
1.97,90
1.51,63.8
1.59,62.6
1.6,67.8
1.57,63.3
1.61,65.2
